activity subject Time.BodyAccMag.mean Time.BodyAccMag.std Time.GravityAccMag.mean Time.GravityAccMag.std Time.BodyAccJerkMag.mean Time.BodyAccJerkMag.std Time.BodyGyroMag.mean Time.BodyGyroMag.std Time.BodyGyroJerkMag.mean Time.BodyGyroJerkMag.std Freq.BodyAccMag.mean Freq.BodyAccMag.std Freq.BodyBodyAccJerkMag.mean Freq.BodyBodyAccJerkMag.std Freq.BodyBodyGyroMag.mean Freq.BodyBodyGyroMag.std Freq.BodyBodyGyroJerkMag.mean Freq.BodyBodyGyroJerkMag.std
LAYING 10 -0.357419738586162 -0.424185928311495 -0.357419738586162 -0.424185928311495 -0.462110641822066 -0.409095655168687 -0.388314506775758 -0.522604974987475 -0.665691018181818 -0.714913442525252 -0.388684286908081 -0.535760386288384 -0.385138891111111 -0.447367612044293 -0.572513090661616 -0.573538825626263 -0.710849269646465 -0.741397840909091
LAYING 12 -0.559586545675313 -0.5743864944925 -0.559586545675313 -0.5743864944925 -0.6300504918575 -0.566365683597188 -0.63166805889875 -0.68485805678325 -0.77729447821875 -0.7863865328125 -0.55928367746625 -0.65053328158 -0.564239194378438 -0.571614888155312 -0.717311676745625 -0.719438065809375 -0.78990285099375 -0.7973614576875
LAYING 13 -0.539871637249541 -0.597230982062691 -0.539871637249541 -0.597230982062691 -0.625466938809174 -0.610248540269939 -0.58121540318471 -0.636364939544342 -0.712745036012232 -0.712056186747706 -0.589928108599083 -0.665344858593272 -0.607295296423853 -0.617075473106453 -0.652225306544343 -0.691915161336391 -0.712054366504281 -0.733183567759939
LAYING 18 -0.658370952115385 -0.689671890376374 -0.658370952115385 -0.689671890376374 -0.753904676895604 -0.745212812708791 -0.714735668626374 -0.775779058758242 -0.859899942335165 -0.88856533728022 -0.697732862178571 -0.733904051236264 -0.742323821887363 -0.750189976318681 -0.816286626730769 -0.789777674554945 -0.88466302260989 -0.902206780607143
LAYING 20 -0.517257429345412 -0.572325820319209 -0.517257429345412 -0.572325820319209 -0.619698756735028 -0.588644307467599 -0.5168612358887 -0.580023613494576 -0.684048497355932 -0.683503744537853 -0.560278889421186 -0.648306198707062 -0.584571446817062 -0.597351046813729 -0.606970915061638 -0.635816314618644 -0.692638075749774 -0.694680032329944
LAYING 24 -0.620032665162467 -0.650862147810236 -0.620032665162467 -0.650862147810236 -0.713667423769029 -0.689391189346457 -0.682447212750656 -0.742983126606299 -0.791646550787402 -0.788997850813648 -0.650121872273806 -0.705928425819685 -0.696845583388451 -0.682447145993307 -0.754131617480315 -0.782076276167979 -0.795019165380577 -0.796157264514436
SITTING 22 0.194598717272727 -0.126888896863636 0.194598717272727 -0.126888896863636 -0.0662072290227273 -0.0363532663636364 -0.137333612554545 -0.223751816518182 -0.543885972272727 -0.644416388636364 -0.0295832732681818 -0.323464307272727 0.00382710664090909 -0.0977799986818182 -0.354449740454545 -0.2723853645 -0.642050515 -0.673087576363636
SITTING 23 -0.532754757205108 -0.56557562579215 -0.532754757205108 -0.56557562579215 -0.58640067170914 -0.55872531418629 -0.544207964433387 -0.541949073660753 -0.623412641977151 -0.573942888021613 -0.529029284118011 -0.657048917971505 -0.542663319457527 -0.583832309145968 -0.534657191683602 -0.632288527203763 -0.584111049810215 -0.593735302105376
SITTING 25 -0.583377749713936 -0.659015505611247 -0.583377749713936 -0.659015505611247 -0.783445354474328 -0.780451867848411 -0.625733064258924 -0.68515279467066 -0.849630706259169 -0.872776184449878 -0.69501971 -0.695367928718826 -0.779190075892421 -0.783547229755501 -0.754236109755501 -0.697213120366748 -0.875970674743276 -0.877714953691932
SITTING 26 -0.600932264175765 -0.620355788665816 -0.600932264175765 -0.620355788665816 -0.694917859209184 -0.677426336392347 -0.694597662936224 -0.751833690215051 -0.798325916709184 -0.818279112908163 -0.6317569828625 -0.673917799546684 -0.679278323637755 -0.678025758312755 -0.770504884821429 -0.782624320831633 -0.823865297193878 -0.823991408418367
SITTING 27 -0.627947737417819 -0.677874152031915 -0.627947737417819 -0.677874152031915 -0.70180744799867 -0.696003354282979 -0.694016019806117 -0.754713306440957 -0.823067662473404 -0.837212879564096 -0.667185803946808 -0.734883056953989 -0.688572791044947 -0.707531366315426 -0.785953610106383 -0.777810418832447 -0.837585999827128 -0.848260021656915
SITTING 28 -0.644599448147087 -0.659757363641262 -0.644599448147087 -0.659757363641262 -0.723779362805825 -0.714477557324272 -0.683567422362136 -0.737683990849515 -0.813718189757282 -0.824174463058252 -0.656100294024272 -0.715164661849515 -0.706908798520874 -0.726122136199029 -0.762735296006796 -0.767012523398058 -0.826660930776699 -0.833674226650485
STANDING 2 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.587777445435431 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.514569861316887 -0.646662308457285 -0.509746432970861 -0.518800797709272 -0.699742945221854 -0.725310337688742 -0.751615078360927 -0.744194981440397
STANDING 4 -0.56158213510694 -0.606556049548896 -0.56158213510694 -0.606556049548896 -0.656116311856877 -0.647249966810726 -0.656291093847319 -0.706738493542587 -0.819191368044164 -0.844187064164038 -0.602098037677603 -0.672948341687697 -0.63501900541041 -0.666506718936908 -0.745650754608833 -0.732586304826498 -0.838833209652997 -0.863096864037855
STANDING 9 -0.505183470509187 -0.553038255314792 -0.505183470509187 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.553186448295139 -0.624456827182986 -0.609193721940625 -0.611619343190972 -0.700863097986111 -0.697729432621528 -0.786473954201389 -0.801296292638889
STANDING 10 -0.801728673104167 -0.795247255416667 -0.801728673104167 -0.795247255416667 -0.8162927158125 -0.777345431613542 -0.797174474479167 -0.834377870416667 -0.876313803854167 -0.880007876041667 -0.786961677072917 -0.834157293125 -0.783269770302083 -0.770950588979167 -0.845024943541667 -0.856745923229167 -0.8851999225 -0.881496240729167
STANDING 28 -0.569569991120454 -0.607805066017045 -0.569569991120454 -0.607805066017045 -0.649224303329546 -0.656365538846023 -0.607539045567045 -0.679673857163068 -0.760708643386364 -0.784159789318182 -0.596766476930682 -0.675726065523295 -0.638582720019318 -0.683350492909091 -0.708848978369318 -0.716597399028409 -0.783731989943182 -0.800627497215909
STANDING 29 -0.553585593347965 -0.579067216088081 -0.553585593347965 -0.579067216088081 -0.664538060484884 -0.620472049862791 -0.602228993700349 -0.653732301592151 -0.802293906366279 -0.840156364186047 -0.589294014734302 -0.639314176054942 -0.609879937469099 -0.636434470547384 -0.722018434984302 -0.671454324368401 -0.840464164156977 -0.851462426569768
STANDING 30 -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.600372067046214 -0.646522810920757 -0.656339723754047 -0.664600262443811 -0.669600510563003 -0.589192650089817 -0.811292332428198 -0.822805618746736
WALKING 1 -0.453632943768818 -0.497096402038328 -0.453632943768818 -0.497096402038328 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
WALKING 3 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.579076453758064 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651026 -0.810032718739003
WALKING 5 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.528503022745033 -0.594259529756954 -0.573176177044172 -0.613485123609272 -0.677355755703311 -0.715731148145695 -0.748829309536424 -0.735610602483444
WALKING 6 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.473974924380431 -0.570910289993846 -0.494882316238462 -0.516711262173969 -0.579130051151385 -0.657368673849846 -0.651886909221538 -0.660175875210246
WALKING 7 -0.511312036747403 -0.510669879158539 -0.511312036747403 -0.510669879158539 -0.622815767680292 -0.550560230585714 -0.581899897967532 -0.598670795839286 -0.713191348337662 -0.658017844948377 -0.518323878824675 -0.583819796092208 -0.553360009658182 -0.550683254908441 -0.628877272791136 -0.650923648207792 -0.668879188156396 -0.668963362464935
WALKING 8 -0.684607146515152 -0.71328703040404 -0.684607146515152 -0.71328703040404 -0.725727509270707 -0.72913616179798 -0.663265892582828 -0.72093816099596 -0.790885296565657 -0.825828347373737 -0.693568388292929 -0.770877890434344 -0.715745792606061 -0.749236439787879 -0.741679153929293 -0.755554747464646 -0.817455544646465 -0.850242418585859
WALKING_DOWNSTAIRS 17 -0.532690252939646 -0.606069140132448 -0.532690252939646 -0.606069140132448 -0.671076885553097 -0.668331557015634 -0.649912792768584 -0.730340424530973 -0.794708804985251 -0.810882493864307 -0.616776986006785 -0.661980075745723 -0.672302752918879 -0.666929054969322 -0.750925804837758 -0.765190625132743 -0.815081807581121 -0.820032370707965
WALKING_DOWNSTAIRS 19 -0.531507362111361 -0.599552767486305 -0.531507362111361 -0.599552767486305 -0.5762252472125 -0.601918552871945 -0.548919668132222 -0.610093380740278 -0.683436541824444 -0.7255986988425 -0.556404444967972 -0.689860920113889 -0.576064647812278 -0.641089005857778 -0.636287999799167 -0.662325968145833 -0.719519008752778 -0.754223739441667
